site_id,run_id,ts_iso,req_id,session_id,provider,phase,caption,top1_id,top1_score,top2_id,top2_score,margin,gt_node_id,hit_top1,hit_top2,hit_hop1,low_conf,low_conf_rule,client_start_ms,server_recv_ms,server_resp_ms
SCENE_A_MS,WARMUP,2025-08-15T14:39:38.740920,128438a0-7a26-435e-afc2-ad434707a8f7,T06,ft,warmup,First photo - preset output,,,,,,,,,,,,,,1755268777192,1755268777445,1755268778740
SCENE_A_MS,FT-SCENE_A_MS-1755268778730,2025-08-15T14:40:13.060163,cb526407-69ee-45e1-b3d6-ea0ffcc70ab1,T06,ft,trial,there is a black machine with a red handle on a table,Sense_A_4o_0,0.406818,Sense_A_FT_0,0.306526,0.100292,,,,,false,,1755268807713,1755268807924,1755268813059
SCENE_A_MS,WARMUP,2026-05-27T15:19:34.688726,8bfcfaa9-30f8-4f06-901d-ab1eb95fcf84,smoke_1779895168,ft,warmup,First photo - preset output,,,,,,,,,,,,,1779895168930,1779895174688
SCENE_A_MS,WARMUP,2026-05-27T15:19:36.302366,44aec19b-c797-46a0-967a-12ba94b7d426,smoke_1779895168,ft,warmup,First photo - preset output,,,,,,,,,,,,,,,1779895174712,1779895176302
SCENE_A_MS,WARMUP,2026-05-27T15:34:51.774937,26c84428-9457-483d-9dcc-ac55d41857f7,smoke_1779896090,ft,warmup,First photo - preset output,,,,,,,,,,,,,,,1779896090111,1779896091774
SCENE_A_MS,WARMUP,2026-05-27T15:37:22.299730,c5cb5935-cda2-4125-9a39-3870b391e5bc,dbg_1779896238,ft,warmup,First photo - preset output,,,,,,,,,,,,,,,1779896238615,1779896242299
SCENE_A_MS,WARMUP,2026-05-27T15:38:18.347608,b6b988ea-9824-4d7f-862f-c73550cfed08,dbg2_1779896296,ft,warmup,First photo - preset output,,,,,,,,,,,,,,,1779896296598,1779896298347
SCENE_A_MS,WARMUP,2026-05-27T15:40:11.982400,71318c79-9b8e-410c-8ec6-95479e67dd81,final_1779896410,ft,warmup,First photo - preset output,,,,,,,,,,,,,,,1779896410176,1779896411982
SCENE_A_MS,WARMUP,2026-06-07T02:16:09.470799,d75f925a-8eb0-414c-bf7e-3a4d21adfdb7,snap_1780798563,ft,warmup,First photo - preset output,,,,,,,,,,,,,,,1780798563687,1780798569470
SCENE_A_MS,WARMUP,2026-06-07T03:39:38.152335,e91e6861-82a8-40dc-9976-4295f782c174,verify_1780803572,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780803572066,1780803578152
SCENE_A_MS,WARMUP,2026-06-07T06:19:43.747296,75d690a4-a3fb-46f1-9a4f-21852b521fa7,audit_1780813183,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780813183079,1780813183747
SCENE_A_MS,WARMUP,2026-06-07T06:35:32.530028,5a8e4e3f-3feb-4ade-89a4-f2893bd65207,baseline_1780814126__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814126334,1780814132530
SCENE_B_STUDIO,WARMUP,2026-06-07T06:36:04.540672,5313a72d-994a-4be0-b0c1-8b53d011fe37,baseline_1780814126_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814162928,1780814164540
SCENE_A_MS,WARMUP,2026-06-07T06:37:22.772176,9367f70f-a9ae-4c7e-b4ea-f5c9a750da9a,baseline_1780814239__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814239113,1780814242772
SCENE_B_STUDIO,WARMUP,2026-06-07T06:37:54.115739,6d958810-58eb-46a6-ab42-51a0053ec902,baseline_1780814239_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814272542,1780814274115
SCENE_A_MS,WARMUP,2026-06-07T06:38:41.739462,b5a1f5b5-2b7b-4c7c-9c0e-0c86dfdb1d68,g01_a0.5_t0.15_n0.05_1780814317__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814317939,1780814321739
SCENE_B_STUDIO,WARMUP,2026-06-07T06:39:15.312055,ea542d39-4d48-462a-8a02-61d110013c90,g01_a0.5_t0.15_n0.05_1780814317_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814353782,1780814355312
SCENE_A_MS,WARMUP,2026-06-07T06:40:02.650767,4ab1c275-79fe-4833-9c31-804a3ef84723,g02_a0.5_t0.15_n0.15_1780814399__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814399395,1780814402650
SCENE_B_STUDIO,WARMUP,2026-06-07T06:40:33.312359,f9bb2c98-bdb0-4842-951f-e49d78936c96,g02_a0.5_t0.15_n0.15_1780814399_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814431781,1780814433312
SCENE_A_MS,WARMUP,2026-06-07T06:41:20.206003,48741bb9-3fa8-4f61-a56e-048796a1564a,g03_a0.5_t0.15_n0.3_1780814476__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814476461,1780814480206
SCENE_B_STUDIO,WARMUP,2026-06-07T06:41:52.355768,47abebd2-83bc-45d2-88ed-813b40039c27,g03_a0.5_t0.15_n0.3_1780814476_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814510821,1780814512355
SCENE_A_MS,WARMUP,2026-06-07T06:42:40.261106,5b9a42c6-1ca3-4144-b4e6-de881b4f8d5a,g04_a0.5_t0.25_n0.05_1780814555__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814555511,1780814560261
SCENE_B_STUDIO,WARMUP,2026-06-07T06:43:13.701492,f27c8454-82fe-4bb1-9522-2d1c6a0c60c9,g04_a0.5_t0.25_n0.05_1780814555_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814592146,1780814593701
SCENE_A_MS,WARMUP,2026-06-07T06:44:02.503343,1a76923e-8e4c-430b-8d58-9136d7457657,g05_a0.5_t0.25_n0.15_1780814638__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814638966,1780814642503
SCENE_B_STUDIO,WARMUP,2026-06-07T06:44:33.665129,c3ce1e86-0edf-4a87-a2e3-8f3632b0924b,g05_a0.5_t0.25_n0.15_1780814638_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814672133,1780814673665
SCENE_A_MS,WARMUP,2026-06-07T06:45:21.842893,a900093d-1caa-4a4b-85ca-e8c2364e4a34,g06_a0.5_t0.25_n0.3_1780814719__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814719330,1780814721842
SCENE_B_STUDIO,WARMUP,2026-06-07T06:45:53.581613,a47ccc9a-3de8-4f70-80d2-db926426cb0a,g06_a0.5_t0.25_n0.3_1780814719_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814752026,1780814753581
SCENE_A_MS,WARMUP,2026-06-07T06:46:40.409364,b68c378a-91cb-40f6-b50a-727d9089e3f4,g07_a0.5_t0.4_n0.05_1780814797__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814797649,1780814800409
SCENE_B_STUDIO,WARMUP,2026-06-07T06:47:12.077264,1917a586-241b-4b44-858d-eb77c699831c,g07_a0.5_t0.4_n0.05_1780814797_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814830545,1780814832077
SCENE_A_MS,WARMUP,2026-06-07T06:47:58.773001,ca87d848-a2e8-4976-aa0f-b88a33ea8257,g08_a0.5_t0.4_n0.15_1780814876__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814876443,1780814878773
SCENE_B_STUDIO,WARMUP,2026-06-07T06:48:29.907816,4ea62ae4-d67c-4fd1-a181-5184e9d978ba,g08_a0.5_t0.4_n0.15_1780814876_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814908369,1780814909907
SCENE_A_MS,WARMUP,2026-06-07T06:49:16.135685,49c93d24-730b-44b3-af3d-b02a7dba0ee6,g09_a0.5_t0.4_n0.3_1780814953__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814953878,1780814956135
SCENE_B_STUDIO,WARMUP,2026-06-07T06:49:46.783005,a636a97d-b695-4698-9476-358c6e41d4ae,g09_a0.5_t0.4_n0.3_1780814953_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780814985272,1780814986783
SCENE_A_MS,WARMUP,2026-06-07T06:50:31.068271,e371bf86-3b97-4ed0-8843-b16d7a10a180,g10_a0.65_t0.15_n0.05_1780815029__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815029372,1780815031068
SCENE_B_STUDIO,WARMUP,2026-06-07T06:51:02.857380,5a49b841-3602-4875-ab27-bd4b267de61e,g10_a0.65_t0.15_n0.05_1780815029_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815061303,1780815062857
SCENE_A_MS,WARMUP,2026-06-07T06:51:50.200423,4b7fbb7d-4675-4a5c-91c4-4f3cc92a4593,g11_a0.65_t0.15_n0.15_1780815106__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815106832,1780815110200
SCENE_B_STUDIO,WARMUP,2026-06-07T06:52:22.072525,273c9bbc-86eb-4227-a19e-3d82e955ec02,g11_a0.65_t0.15_n0.15_1780815106_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815140553,1780815142072
SCENE_A_MS,WARMUP,2026-06-07T06:53:09.593761,12e469ec-e1f3-45b4-8324-a550bf521061,g12_a0.65_t0.15_n0.3_1780815187__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815187126,1780815189593
SCENE_B_STUDIO,WARMUP,2026-06-07T06:53:41.867281,c49fbadb-d603-4fb2-bb86-0032807755b2,g12_a0.65_t0.15_n0.3_1780815187_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815220282,1780815221867
SCENE_A_MS,WARMUP,2026-06-07T06:54:30.137279,a8b4b209-3c1a-4ab0-91a0-0797ccc782a0,g13_a0.65_t0.25_n0.05_1780815266__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815266841,1780815270137
SCENE_B_STUDIO,WARMUP,2026-06-07T06:55:01.932183,2191e2f4-5133-4301-ab66-cd469da551f3,g13_a0.65_t0.25_n0.05_1780815266_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815300359,1780815301932
SCENE_A_MS,WARMUP,2026-06-07T06:55:51.672635,9113b651-c6a0-4d60-9312-783a88fad692,g14_a0.65_t0.25_n0.15_1780815348__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815348936,1780815351672
SCENE_B_STUDIO,WARMUP,2026-06-07T06:56:24.252491,bf2d00f6-3e85-4b17-bfcb-f2c492af7116,g14_a0.65_t0.25_n0.15_1780815348_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815382590,1780815384252
SCENE_A_MS,WARMUP,2026-06-07T06:57:11.926717,7f150321-278d-4f83-bb0b-72b8d5cd84df,g15_a0.65_t0.25_n0.3_1780815429__MS,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815429272,1780815431926
SCENE_B_STUDIO,WARMUP,2026-06-07T06:57:45.319387,c751ffa6-a072-417a-8b06-3370fafa73f6,g15_a0.65_t0.25_n0.3_1780815429_DIO,ft,warmup,First photo - preset output,,,,,,,,,,,,,1780815463706,1780815465319
