site_id,run_id,ts_iso,req_id,session_id,provider,client_start_ms,client_tts_start_ms,e2e_latency_ms
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755140683201,2025-08-14T03:04:43.247103,b0db99f3-dc13-4603-afd0-e15090ecdb90,T270,base,trial,1755140682832,1755140683200,368
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755140695244,2025-08-14T03:04:55.284023,c02f5e63-37d9-43f8-a4f7-d44c82336082,T270,base,trial,1755140694974,1755140695240,266
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755140695244,2025-08-14T03:05:19.795417,78a7f46e-97d5-42ec-b0b9-fe6fbae8ed4e,T270,base,trial,1755140719460,1755140719747,287
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755143531639,2025-08-14T03:52:11.683056,fcf89653-10af-4c22-a4d4-b27bb4edad3e,T01,base,trial,1755143531382,1755143531637,255
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755143531639,2025-08-14T03:52:34.428861,b43341be-7ea4-4bde-a1d2-73aeb4edabc6,T01,base,trial,1755143545267,1755143554357,9090
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:18:11.928419,b8e4d8d7-64e0-4a06-a2c5-507f036b2f3e,T01,base,trial,1755170289829,1755170291906,2077
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:18:48.555155,c051047a-cebf-475b-bbe2-d097353f2121,T01,base,trial,1755170325669,1755170328525,2856
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:19:20.022091,5b82c78f-88c9-4128-860d-10b84e55d13d,T01,base,trial,1755170357405,1755170359995,2590
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:19:39.906759,6f25b8f5-b0ca-43ac-a189-b2855acf6f0b,T01,base,trial,1755170378324,1755170379882,1558
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755172464288,2025-08-14T11:54:24.284890,f0f657da-6609-4af5-b900-8d910910e6e0,T01,base,trial,1755172464138,1755172464286,148
SCENE_A_MS,BASE-SCENE_A_MS-1755175361558,2025-08-14T12:42:41.570267,934e5dc6-102c-4e91-ad05-65a55c75a9fe,T01,base,trial,1755175361397,1755175361557,160
SCENE_A_MS,BASE-SCENE_A_MS-1755175361558,2025-08-14T12:43:10.795806,deecaf6c-2d2f-41d3-9dd9-ee41dbeb3ffe,T01,base,trial,1755175387960,1755175390819,2859
SCENE_A_MS,BASE-SCENE_A_MS-1755175361558,2025-08-14T12:45:20.212046,0bb2349a-4754-4912-8fef-ffcce43cbae0,T01,base,trial,1755175517499,1755175520237,2738
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T12:58:57.998999,dad314d8-e0cd-4b05-9447-16ffab644276,T01,base,trial,1755176336287,1755176338072,1785
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T12:59:39.116195,0cf7a262-a9b8-4295-8649-78f4bafa51a4,T01,base,trial,1755176376137,1755176379197,3060
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T12:59:55.368715,175de178-e76c-45a8-a1d9-b0092d9eb99e,T01,base,trial,1755176393517,1755176395447,1930
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755176280504,2025-08-14T13:00:19.706115,9c79f6db-0763-4662-ab5c-3aac1ab6a338,T01,base,trial,1755176417544,1755176419787,2243
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:10:48.740322,be9e1183-e343-4aef-91ee-549aad1d2ea4,T01,base,trial,1755177046181,1755177048830,2649
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:11:06.558680,c128f053-225c-4dad-aa5d-b0eee66f7aa9,T01,base,trial,1755177063720,1755177066636,2916
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:11:27.836187,16ce1e2c-e9d2-4de0-a05e-4d8c4d9c9ac3,T01,base,trial,1755177085379,1755177087902,2523
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:12:06.432468,d8153f2a-190b-4c14-8dd4-00d2dc287f17,T01,base,trial,1755177124133,1755177126506,2373
SCENE_A_MS,BASE-SCENE_A_MS-1755176979255,2025-08-14T13:14:26.312695,35c43c57-68c1-4c47-ba48-d1436d2bdd74,T01,base,trial,1755177264045,1755177266385,2340
