site_id,run_id,ts_iso,req_id,session_id,provider,client_start_ms,client_tts_start_ms,e2e_latency_ms
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:04:35.996619,b107ca31-763c-4b15-9949-4740195b5da6,T06,base,trial,1755543874740,1755543875927,1187
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:04:48.818447,192d2497-7f44-4c3f-aee1-9fe922898dc9,T06,base,trial,1755543885100,1755543888767,3667
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:04:57.349271,774f6dee-7b97-4b6f-8cf1-8a48df7bdabd,T06,base,trial,1755543895246,1755543897268,2022
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:05:11.534502,f7a3cb66-3dea-4c56-a752-206f55451511,T06,base,trial,1755543910227,1755543911476,1249
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:05:20.518222,d3dbac77-31d1-415d-a912-14da600a620d,T06,base,trial,1755543919194,1755543920459,1265
SCENE_A_MS,BASE-SCENE_A_MS-1755543875930,2025-08-18T19:05:30.388562,46d85b19-e1e9-440b-9dec-2a986db22567,T06,base,trial,1755543929077,1755543930331,1254
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:21:34.183420,5cccca5e-c011-4a1c-8e18-24068e1c4204,T06,base,trial,1755544888203,1755544894115,5912
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:21:49.370623,dffd984f-df52-406a-ba4c-2d21cfc45f01,T06,base,trial,1755544907477,1755544909307,1830
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:21:59.381383,a3289e8a-37e2-48cb-a524-04234e06d6e3,T06,base,trial,1755544917918,1755544919320,1402
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:07.526235,9a143005-681e-4c15-9d69-df82f846394d,T06,base,trial,1755544925923,1755544927301,1378
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:17.233101,cb77aad7-39ac-43a8-8154-f8f079f31326,T06,base,trial,1755544935795,1755544937172,1377
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:31.851195,324705ca-6e0b-47cc-b543-7c826021f59e,T06,base,trial,1755544950530,1755544951786,1256
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:41.940788,ed731535-73fe-4380-ab9b-0c8749ced09b,T06,base,trial,1755544960590,1755544961861,1271
SCENE_A_MS,BASE-SCENE_A_MS-1755544894124,2025-08-18T19:22:50.620225,db5f1684-0712-4434-b42f-effab6c04081,T06,base,trial,1755544969133,1755544970557,1424
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755551755988,2025-08-18T21:15:56.020937,7280928f-80b7-4fce-a030-b0edb2e14e17,T01,base,trial,1755551750111,1755551755985,5874
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755790256992,2025-08-21T15:31:02.488964,5cebddbe-3e9e-4fa4-b072-871a7a45b31b,P01,base,trial,1755790254050,1755790256988,2938
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755790256992,2025-08-21T15:31:09.512800,d6db1f49-3391-4165-85d3-6e027ba869c3,P01,base,trial,1755790267656,1755790269478,1822
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755790256992,2025-08-21T15:31:20.373653,d7c76780-a636-42cf-9652-ea540aa3a0e2,P01,base,trial,1755790278282,1755790280341,2059
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755869155308,2025-08-22T13:25:55.500653,1e1bf854-6c3a-4c17-a8c5-46ea314454e2,P01,base,trial,1755869153384,1755869155302,1918
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755869155308,2025-08-22T13:26:02.784321,0134e678-e529-4e58-9f9a-4ade2b3a5ce5,P01,base,trial,1755869161094,1755869162568,1474
