site_id,run_id,ts_iso,req_id,session_id,provider,client_start_ms,client_tts_start_ms,e2e_latency_ms
SCENE_A_MS,FT-SCENE_A_MS-1755167883001,2025-08-14T10:38:03.011472,a70aee54-43d8-42bb-acf5-d8a8739ea972,T263,ft,trial,1755167882788,1755167883000,212
SCENE_A_MS,FT-SCENE_A_MS-1755167883001,2025-08-14T10:38:23.659622,bc96166b-c00b-4d36-9dbd-f69e3a2957c2,T263,ft,trial,1755167893865,1755167903634,9769
SCENE_A_MS,FT-SCENE_A_MS-1755167883001,2025-08-14T10:39:15.006503,c28a8ed9-ce8d-4b96-a945-2cb341290063,T263,ft,trial,1755167954840,1755167954996,156
SCENE_A_MS,FT-SCENE_A_MS-1755168401931,2025-08-14T10:46:41.932945,1a73278f-063e-4967-a063-72d6d3ee3160,T263,ft,trial,1755168401775,1755168401931,156
SCENE_A_MS,FT-SCENE_A_MS-1755168401931,2025-08-14T10:47:48.352802,b34f7e8b-7b57-4fca-bfaf-a47ae3f513b2,T263,ft,trial,1755168459257,1755168466064,6807
SCENE_A_MS,FT-SCENE_A_MS-1755168401931,2025-08-14T10:48:40.872945,578da74f-e091-470e-8fd8-b8868e33884a,T263,ft,trial,1755168520167,1755168520555,388
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:55:27.533220,539f8d35-05eb-4988-a441-f20b224faa9b,T01,ft,trial,1755168925728,1755168927366,1638
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:56:10.674292,78b8aaf9-414e-402c-a451-4295886c8aaa,T01,ft,trial,1755168961189,1755168968313,7124
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:56:58.483048,0a5af87a-7472-4465-a89c-09ef427b2f3b,T01,ft,trial,1755169016085,1755169018464,2379
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:58:15.860636,e1f5b6e2-aa0e-47c7-a493-9f9a45ff53e8,T01,ft,trial,1755169093416,1755169095834,2418
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:58:44.807698,44b6e2f6-3c43-43e9-a271-c3b98376c2fe,T01,ft,trial,1755169122474,1755169124776,2302
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:59:19.949975,961c2204-3b74-4b58-a619-d84be7e889bc,T01,ft,trial,1755169158243,1755169159932,1689
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T11:00:10.856660,86ac1930-41bc-47e8-ba01-b7a7b623e3f3,T01,ft,trial,1755169208532,1755169210835,2303
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T11:00:47.314178,331c0086-bef1-4f70-bbd7-a67e26d2d71d,T01,ft,trial,1755169245071,1755169247294,2223
SCENE_A_MS,FT-SCENE_A_MS-1755169913503,2025-08-14T11:11:53.531763,d6958229-c151-441d-8fbb-8adf0914100a,T01,ft,trial,1755169911755,1755169913499,1744
SCENE_A_MS,FT-SCENE_A_MS-1755169913503,2025-08-14T11:12:38.602366,0cbdd0ff-2ccb-42cd-8ad1-ae47c0d07ebd,T01,ft,trial,1755169948389,1755169958567,10178
SCENE_A_MS,FT-SCENE_A_MS-1755169913503,2025-08-14T11:13:56.086475,19f22b2a-65b4-430f-a54f-d73bb4934aba,T01,ft,trial,1755170033319,1755170036055,2736
SCENE_A_MS,FT-SCENE_A_MS-1755169913503,2025-08-14T11:14:53.095436,57597003-6a61-4f10-b953-924d3bb9487a,T01,ft,trial,1755170090116,1755170093050,2934
SCENE_A_MS,FT-SCENE_B_STUDIO-1755172475480,2025-08-14T11:54:48.912079,1927e18b-f97b-4839-9115-039ed3def4dc,T01,ft,trial,1755172488777,1755172488915,138
SCENE_A_MS,FT-SCENE_A_MS-1755172488916,2025-08-14T11:55:27.552390,28b2414e-febe-424b-bad6-650cc1d93b5a,T01,ft,trial,1755172515866,1755172525706,9840
SCENE_A_MS,FT-SCENE_A_MS-1755172488916,2025-08-14T11:56:25.698637,f881796b-7279-43f7-832b-658ca0321b2c,T01,ft,trial,1755172582599,1755172585692,3093
SCENE_A_MS,FT-SCENE_A_MS-1755172488916,2025-08-14T11:56:34.221509,a927446f-09b1-460f-9329-b05b3e78b1e3,T01,ft,trial,1755172591717,1755172594215,2498
SCENE_A_MS,FT-SCENE_A_MS-1755173353738,2025-08-14T12:09:13.742555,0d76fd20-74d7-4090-970b-944bf9e461df,T01,ft,trial,1755173353589,1755173353736,147
SCENE_A_MS,FT-SCENE_A_MS-1755173353738,2025-08-14T12:10:14.678648,83608ed8-5651-48d9-a4ff-f074b93bc121,T01,ft,trial,1755173414459,1755173414689,230
SCENE_A_MS,FT-SCENE_A_MS-1755173414691,2025-08-14T12:10:55.825641,19674f49-f481-4ad7-8445-1559e23581ee,T01,ft,trial,1755173446127,1755173455828,9701
SCENE_A_MS,FT-SCENE_A_MS-1755173414691,2025-08-14T12:11:17.638176,bb5181a7-d74c-4dc0-b3ae-34d6c4fde7a2,T01,ft,trial,1755173475703,1755173477643,1940
SCENE_A_MS,FT-SCENE_A_MS-1755173506941,2025-08-14T12:11:46.924971,cd2e8021-49f9-46b1-81e0-8c0d0ec0a620,T01,ft,trial,1755173506817,1755173506940,123
SCENE_A_MS,FT-SCENE_A_MS-1755174185758,2025-08-14T12:23:05.738136,a26c7b47-2bca-48a4-86d9-5d9dab8ce2d3,T01,ft,trial,1755174185547,1755174185757,210
SCENE_A_MS,FT-SCENE_A_MS-1755174217560,2025-08-14T12:23:37.537870,a59026d0-0fe6-48e7-9569-46ccc2204474,T01,ft,trial,1755174217437,1755174217559,122
SCENE_A_MS,FT-SCENE_A_MS-1755175122385,2025-08-14T12:39:23.298620,42c18041-0e4a-4a8f-9b73-087a2b51fd0d,T01,ft,trial,1755175148027,1755175157679,9652
SCENE_A_MS,FT-SCENE_A_MS-1755175122385,2025-08-14T12:39:45.690627,4041eeec-07c1-4d2d-8c75-57758bfbe045,T01,ft,trial,1755175183324,1755175185712,2388
SCENE_A_MS,FT-SCENE_A_MS-1755175122385,2025-08-14T12:40:23.064420,1dcefe8a-dbca-4b60-89b3-a51355c6d0e4,T01,ft,trial,1755175221199,1755175223083,1884
